gamma Case Scenario ES e_var Power n g h 
6   1   3 0.300      1.000 6.597366e-01  10   5   3 
6   1   3 0.300      1.000 8.276127e-01  15   5   3 
6   1   3 0.300      1.000 9.183620e-01  20   5   3 
6   1   3 0.300      1.000 9.841413e-01  15  10   5 
6   1   3 0.300      1.000 9.973108e-01  20  10   5 
6   1   3 0.300      1.000 9.995861e-01  25  10   5 
6   1   3 0.300      1.000 9.999971e-01  25  15   5 
6   1   3 0.300      1.000 9.999408e-01  20  15  10 
7   1   3 0.300      1.000 6.597366e-01  10   5   3 
7   1   3 0.300      1.000 8.276127e-01  15   5   3 
7   1   3 0.300      1.000 9.183620e-01  20   5   3 
7   1   3 0.300      1.000 9.841413e-01  15  10   5 
7   1   3 0.300      1.000 9.973108e-01  20  10   5 
7   1   3 0.300      1.000 9.995861e-01  25  10   5 
7   1   3 0.300      1.000 9.999971e-01  25  15   5 
7   1   3 0.300      1.000 9.999408e-01  20  15  10 
1   1   3 0.700      1.000 9.998242e-01  10   5   3 
1   1   3 0.700      1.000 9.999993e-01  15   5   3 
1   1   3 0.700      1.000 1.000000e+00  20   5   3 
1   1   3 0.700      1.000 1.000000e+00  15  10   5 
1   1   3 0.700      1.000   1  20  10   5 
1   1   3 0.700      1.000   1  25  10   5 
1   1   3 0.700      1.000   1  25  15   5 
1   1   3 0.700      1.000   1  20  15  10 
2   1   3 0.700      1.000 9.998242e-01  10   5   3 
2   1   3 0.700      1.000 9.999993e-01  15   5   3 
2   1   3 0.700      1.000 1.000000e+00  20   5   3 
2   1   3 0.700      1.000 1.000000e+00  15  10   5 
2   1   3 0.700      1.000   1  20  10   5 
2   1   3 0.700      1.000   1  25  10   5 
2   1   3 0.700      1.000   1  25  15   5 
2   1   3 0.700      1.000   1  20  15  10 
3   1   3 0.700      1.000 9.998242e-01  10   5   3 
3   1   3 0.700      1.000 9.999993e-01  15   5   3 
3   1   3 0.700      1.000 1.000000e+00  20   5   3 
3   1   3 0.700      1.000 1.000000e+00  15  10   5 
3   1   3 0.700      1.000   1  20  10   5 
3   1   3 0.700      1.000   1  25  10   5 
3   1   3 0.700      1.000   1  25  15   5 
3   1   3 0.700      1.000   1  20  15  10 
4   1   3 0.700      1.000 9.998242e-01  10   5   3 
4   1   3 0.700      1.000 9.999993e-01  15   5   3 
4   1   3 0.700      1.000 1.000000e+00  20   5   3 
4   1   3 0.700      1.000 1.000000e+00  15  10   5 
4   1   3 0.700      1.000   1  20  10   5 
4   1   3 0.700      1.000   1  25  10   5 
4   1   3 0.700      1.000   1  25  15   5 
4   1   3 0.700      1.000   1  20  15  10 
5   1   3 0.700      1.000 9.998242e-01  10   5   3 
5   1   3 0.700      1.000 9.999993e-01  15   5   3 
5   1   3 0.700      1.000 1.000000e+00  20   5   3 
5   1   3 0.700      1.000 1.000000e+00  15  10   5 
5   1   3 0.700      1.000   1  20  10   5 
5   1   3 0.700      1.000   1  25  10   5 
5   1   3 0.700      1.000   1  25  15   5 
5   1   3 0.700      1.000   1  20  15  10 
6   1   3 0.700      1.000 9.998242e-01  10   5   3 
6   1   3 0.700      1.000 9.999993e-01  15   5   3 
6   1   3 0.700      1.000 1.000000e+00  20   5   3 
6   1   3 0.700      1.000 1.000000e+00  15  10   5 
6   1   3 0.700      1.000   1  20  10   5 
6   1   3 0.700      1.000   1  25  10   5 
6   1   3 0.700      1.000   1  25  15   5 
6   1   3 0.700      1.000   1  20  15  10 
7   1   3 0.700      1.000 9.998242e-01  10   5   3 
7   1   3 0.700      1.000 9.999993e-01  15   5   3 
7   1   3 0.700      1.000 1.000000e+00  20   5   3 
7   1   3 0.700      1.000 1.000000e+00  15  10   5 
7   1   3 0.700      1.000   1  20  10   5 
7   1   3 0.700      1.000   1  25  10   5 
7   1   3 0.700      1.000   1  25  15   5 
7   1   3 0.700      1.000   1  20  15  10 
1   1   3 0.300      2.000 3.886218e-01  10   5   3 
1   1   3 0.300      2.000 5.374437e-01  15   5   3 
1   1   3 0.300      2.000 6.597366e-01  20   5   3 
1   1   3 0.300      2.000 8.276127e-01  15  10   5 
1   1   3 0.300      2.000 9.183620e-01  20  10   5 
1   1   3 0.300      2.000 9.632759e-01  25  10   5 
1   1   3 0.300      2.000 9.957662e-01  25  15   5 
1   1   3 0.300      2.000 9.841413e-01  20  15  10 
2   1   3 0.300      2.000 3.886218e-01  10   5   3 
2   1   3 0.300      2.000 5.374437e-01  15   5   3 
2   1   3 0.300      2.000 6.597366e-01  20   5   3 
2   1   3 0.300      2.000 8.276127e-01  15  10   5 
2   1   3 0.300      2.000 9.183620e-01  20  10   5 
2   1   3 0.300      2.000 9.632759e-01  25  10   5 
2   1   3 0.300      2.000 9.957662e-01  25  15   5 
2   1   3 0.300      2.000 9.841413e-01  20  15  10 
3   1   3 0.300      2.000 3.886218e-01  10   5   3 
3   1   3 0.300      2.000 5.374437e-01  15   5   3 
3   1   3 0.300      2.000 6.597366e-01  20   5   3 
3   1   3 0.300      2.000 8.276127e-01  15  10   5 
3   1   3 0.300      2.000 9.183620e-01  20  10   5 
3   1   3 0.300      2.000 9.632759e-01  25  10   5 
3   1   3 0.300      2.000 9.957662e-01  25  15   5 
3   1   3 0.300      2.000 9.841413e-01  20  15  10 
4   1   3 0.300      2.000 3.886218e-01  10   5   3 
4   1   3 0.300      2.000 5.374437e-01  15   5   3 
4   1   3 0.300      2.000 6.597366e-01  20   5   3 
4   1   3 0.300      2.000 8.276127e-01  15  10   5 
4   1   3 0.300      2.000 9.183620e-01  20  10   5 
4   1   3 0.300      2.000 9.632759e-01  25  10   5 
4   1   3 0.300      2.000 9.957662e-01  25  15   5 
4   1   3 0.300      2.000 9.841413e-01  20  15  10 
5   1   3 0.300      2.000 3.886218e-01  10   5   3 
5   1   3 0.300      2.000 5.374437e-01  15   5   3 
5   1   3 0.300      2.000 6.597366e-01  20   5   3 
5   1   3 0.300      2.000 8.276127e-01  15  10   5 
5   1   3 0.300      2.000 9.183620e-01  20  10   5 
5   1   3 0.300      2.000 9.632759e-01  25  10   5 
5   1   3 0.300      2.000 9.957662e-01  25  15   5 
5   1   3 0.300      2.000 9.841413e-01  20  15  10 
6   1   3 0.300      2.000 3.886218e-01  10   5   3 
6   1   3 0.300      2.000 5.374437e-01  15   5   3 
6   1   3 0.300      2.000 6.597366e-01  20   5   3 
6   1   3 0.300      2.000 8.276127e-01  15  10   5 
6   1   3 0.300      2.000 9.183620e-01  20  10   5 
6   1   3 0.300      2.000 9.632759e-01  25  10   5 
6   1   3 0.300      2.000 9.957662e-01  25  15   5 
6   1   3 0.300      2.000 9.841413e-01  20  15  10 
7   1   3 0.300      2.000 3.886218e-01  10   5   3 
7   1   3 0.300      2.000 5.374437e-01  15   5   3 
7   1   3 0.300      2.000 6.597366e-01  20   5   3 
7   1   3 0.300      2.000 8.276127e-01  15  10   5 
7   1   3 0.300      2.000 9.183620e-01  20  10   5 
7   1   3 0.300      2.000 9.632759e-01  25  10   5 
7   1   3 0.300      2.000 9.957662e-01  25  15   5 
7   1   3 0.300      2.000 9.841413e-01  20  15  10 
1   1   3 0.700      2.000 9.745994e-01  10   5   3 
1   1   3 0.700      2.000 9.976915e-01  15   5   3 
1   1   3 0.700      2.000 9.998242e-01  20   5   3 
1   1   3 0.700      2.000 9.999993e-01  15  10   5 
1   1   3 0.700      2.000 1.000000e+00  20  10   5 
1   1   3 0.700      2.000 1.000000e+00  25  10   5 
1   1   3 0.700      2.000   1  25  15   5 
1   1   3 0.700      2.000 1.000000e+00  20  15  10 
2   1   3 0.700      2.000 9.745994e-01  10   5   3 
2   1   3 0.700      2.000 9.976915e-01  15   5   3 
2   1   3 0.700      2.000 9.998242e-01  20   5   3 
2   1   3 0.700      2.000 9.999993e-01  15  10   5 
2   1   3 0.700      2.000 1.000000e+00  20  10   5 
2   1   3 0.700      2.000 1.000000e+00  25  10   5 
2   1   3 0.700      2.000   1  25  15   5 
2   1   3 0.700      2.000 1.000000e+00  20  15  10 
3   1   3 0.700      2.000 9.745994e-01  10   5   3 
3   1   3 0.700      2.000 9.976915e-01  15   5   3 
3   1   3 0.700      2.000 9.998242e-01  20   5   3 
3   1   3 0.700      2.000 9.999993e-01  15  10   5 
3   1   3 0.700      2.000 1.000000e+00  20  10   5 
3   1   3 0.700      2.000 1.000000e+00  25  10   5 
3   1   3 0.700      2.000   1  25  15   5 
3   1   3 0.700      2.000 1.000000e+00  20  15  10 
4   1   3 0.700      2.000 9.745994e-01  10   5   3 
4   1   3 0.700      2.000 9.976915e-01  15   5   3 
4   1   3 0.700      2.000 9.998242e-01  20   5   3 
4   1   3 0.700      2.000 9.999993e-01  15  10   5 
4   1   3 0.700      2.000 1.000000e+00  20  10   5 
4   1   3 0.700      2.000 1.000000e+00  25  10   5 
4   1   3 0.700      2.000   1  25  15   5 
4   1   3 0.700      2.000 1.000000e+00  20  15  10 
5   1   3 0.700      2.000 9.745994e-01  10   5   3 
5   1   3 0.700      2.000 9.976915e-01  15   5   3 
5   1   3 0.700      2.000 9.998242e-01  20   5   3 
5   1   3 0.700      2.000 9.999993e-01  15  10   5 
5   1   3 0.700      2.000 1.000000e+00  20  10   5 
5   1   3 0.700      2.000 1.000000e+00  25  10   5 
5   1   3 0.700      2.000   1  25  15   5 
5   1   3 0.700      2.000 1.000000e+00  20  15  10 
6   1   3 0.700      2.000 9.745994e-01  10   5   3 
6   1   3 0.700      2.000 9.976915e-01  15   5   3 
6   1   3 0.700      2.000 9.998242e-01  20   5   3 
6   1   3 0.700      2.000 9.999993e-01  15  10   5 
6   1   3 0.700      2.000 1.000000e+00  20  10   5 
6   1   3 0.700      2.000 1.000000e+00  25  10   5 
6   1   3 0.700      2.000   1  25  15   5 
6   1   3 0.700      2.000 1.000000e+00  20  15  10 
7   1   3 0.700      2.000 9.745994e-01  10   5   3 
7   1   3 0.700      2.000 9.976915e-01  15   5   3 
7   1   3 0.700      2.000 9.998242e-01  20   5   3 
7   1   3 0.700      2.000 9.999993e-01  15  10   5 
7   1   3 0.700      2.000 1.000000e+00  20  10   5 
7   1   3 0.700      2.000 1.000000e+00  25  10   5 
7   1   3 0.700      2.000   1  25  15   5 
7   1   3 0.700      2.000 1.000000e+00  20  15  10 
1   2   1 0.300      1.000 3.227710e-01  10   5   3 
1   2   1 0.300      1.000 4.511143e-01  15   5   3 
1   2   1 0.300      1.000 5.640936e-01  20   5   3 
1   2   1 0.300      1.000 7.382997e-01  15  10   5 
1   2   1 0.300      1.000 8.508384e-01  20  10   5 
1   2   1 0.300      1.000 9.183620e-01  25  10   5 
1   2   1 0.300      1.000 9.841413e-01  25  15   5 
1   2   1 0.300      1.000 9.567605e-01  20  15  10 
2   2   1 0.300      1.000 5.640936e-01  10   5   3 
2   2   1 0.300      1.000 7.382997e-01  15   5   3 
2   2   1 0.300      1.000 8.508384e-01  20   5   3 
2   2   1 0.300      1.000 9.567605e-01  15  10   5 
2   2   1 0.300      1.000 9.887753e-01  20  10   5 
2   2   1 0.300      1.000 9.973108e-01  25  10   5 
2   2   1 0.300      1.000 9.999408e-01  25  15   5 
2   2   1 0.300      1.000 9.993943e-01  20  15  10 
3   2   1 0.300      1.000 5.640936e-01  10   5   3 
3   2   1 0.300      1.000 7.382997e-01  15   5   3 
3   2   1 0.300      1.000 8.508384e-01  20   5   3 
3   2   1 0.300      1.000 9.567605e-01  15  10   5 
3   2   1 0.300      1.000 9.887753e-01  20  10   5 
3   2   1 0.300      1.000 9.973108e-01  25  10   5 
3   2   1 0.300      1.000 9.999408e-01  25  15   5 
3   2   1 0.300      1.000 9.993943e-01  20  15  10 
4   2   1 0.300      1.000 3.227710e-01  10   5   3 
4   2   1 0.300      1.000 4.511143e-01  15   5   3 
4   2   1 0.300      1.000 5.640936e-01  20   5   3 
4   2   1 0.300      1.000 7.382997e-01  15  10   5 
4   2   1 0.300      1.000 8.508384e-01  20  10   5 
4   2   1 0.300      1.000 9.183620e-01  25  10   5 
4   2   1 0.300      1.000 9.841413e-01  25  15   5 
4   2   1 0.300      1.000 9.567605e-01  20  15  10 
5   2   1 0.300      1.000 3.227710e-01  10   5   3 
5   2   1 0.300      1.000 4.511143e-01  15   5   3 
5   2   1 0.300      1.000 5.640936e-01  20   5   3 
5   2   1 0.300      1.000 7.382997e-01  15  10   5 
5   2   1 0.300      1.000 8.508384e-01  20  10   5 
5   2   1 0.300      1.000 9.183620e-01  25  10   5 
5   2   1 0.300      1.000 9.841413e-01  25  15   5 
5   2   1 0.300      1.000 9.567605e-01  20  15  10 
6   2   1 0.300      1.000 5.640936e-01  10   5   3 
6   2   1 0.300      1.000 7.382997e-01  15   5   3 
6   2   1 0.300      1.000 8.508384e-01  20   5   3 
6   2   1 0.300      1.000 9.567605e-01  15  10   5 
6   2   1 0.300      1.000 9.887753e-01  20  10   5 
6   2   1 0.300      1.000 9.973108e-01  25  10   5 
6   2   1 0.300      1.000 9.999408e-01  25  15   5 
6   2   1 0.300      1.000 9.993943e-01  20  15  10 
7   2   1 0.300      1.000 3.227710e-01  10   5   3 
7   2   1 0.300      1.000 4.511143e-01  15   5   3 
7   2   1 0.300      1.000 5.640936e-01  20   5   3 
7   2   1 0.300      1.000 7.382997e-01  15  10   5 
7   2   1 0.300      1.000 8.508384e-01  20  10   5 
7   2   1 0.300      1.000 9.183620e-01  25  10   5 
7   2   1 0.300      1.000 9.841413e-01  25  15   5 
7   2   1 0.300      1.000 9.567605e-01  20  15  10 
1   2   1 0.700      1.000 9.382242e-01  10   5   3 
1   2   1 0.700      1.000 9.900079e-01  15   5   3 
1   2   1 0.700      1.000 9.986041e-01  20   5   3 
1   2   1 0.700      1.000 9.999795e-01  15  10   5 
1   2   1 0.700      1.000 9.999998e-01  20  10   5 
1   2   1 0.700      1.000 1.000000e+00  25  10   5 
1   2   1 0.700      1.000 1.000000e+00  25  15   5 
1   2   1 0.700      1.000 1.000000e+00  20  15  10 
2   2   1 0.700      1.000 9.986041e-01  10   5   3 
2   2   1 0.700      1.000 9.999795e-01  15   5   3 
2   2   1 0.700      1.000 9.999998e-01  20   5   3 
2   2   1 0.700      1.000 1.000000e+00  15  10   5 
2   2   1 0.700      1.000 1.000000e+00  20  10   5 
2   2   1 0.700      1.000   1  25  10   5 
2   2   1 0.700      1.000   1  25  15   5 
2   2   1 0.700      1.000   1  20  15  10 
3   2   1 0.700      1.000 9.986041e-01  10   5   3 
3   2   1 0.700      1.000 9.999795e-01  15   5   3 
3   2   1 0.700      1.000 9.999998e-01  20   5   3 
3   2   1 0.700      1.000 1.000000e+00  15  10   5 
3   2   1 0.700      1.000 1.000000e+00  20  10   5 
3   2   1 0.700      1.000   1  25  10   5 
3   2   1 0.700      1.000   1  25  15   5 
3   2   1 0.700      1.000   1  20  15  10 
4   2   1 0.700      1.000 9.382242e-01  10   5   3 
4   2   1 0.700      1.000 9.900079e-01  15   5   3 
4   2   1 0.700      1.000 9.986041e-01  20   5   3 
4   2   1 0.700      1.000 9.999795e-01  15  10   5 
4   2   1 0.700      1.000 9.999998e-01  20  10   5 
4   2   1 0.700      1.000 1.000000e+00  25  10   5 
4   2   1 0.700      1.000 1.000000e+00  25  15   5 
4   2   1 0.700      1.000 1.000000e+00  20  15  10 
5   2   1 0.700      1.000 9.382242e-01  10   5   3 
5   2   1 0.700      1.000 9.900079e-01  15   5   3 
5   2   1 0.700      1.000 9.986041e-01  20   5   3 
5   2   1 0.700      1.000 9.999795e-01  15  10   5 
5   2   1 0.700      1.000 9.999998e-01  20  10   5 
5   2   1 0.700      1.000 1.000000e+00  25  10   5 
5   2   1 0.700      1.000 1.000000e+00  25  15   5 
5   2   1 0.700      1.000 1.000000e+00  20  15  10 
6   2   1 0.700      1.000 9.986041e-01  10   5   3 
6   2   1 0.700      1.000 9.999795e-01  15   5   3 
6   2   1 0.700      1.000 9.999998e-01  20   5   3 
6   2   1 0.700      1.000 1.000000e+00  15  10   5 
6   2   1 0.700      1.000 1.000000e+00  20  10   5 
6   2   1 0.700      1.000   1  25  10   5 
6   2   1 0.700      1.000   1  25  15   5 
6   2   1 0.700      1.000   1  20  15  10 
7   2   1 0.700      1.000 9.382242e-01  10   5   3 
7   2   1 0.700      1.000 9.900079e-01  15   5   3 
7   2   1 0.700      1.000 9.986041e-01  20   5   3 
7   2   1 0.700      1.000 9.999795e-01  15  10   5 
7   2   1 0.700      1.000 9.999998e-01  20  10   5 
7   2   1 0.700      1.000 1.000000e+00  25  10   5 
7   2   1 0.700      1.000 1.000000e+00  25  15   5 
7   2   1 0.700      1.000 1.000000e+00  20  15  10 
1   2   1 0.300      2.000 1.842454e-01  10   5   3 
1   2   1 0.300      2.000 2.543299e-01  15   5   3 
1   2   1 0.300      2.000 3.227710e-01  20   5   3 
1   2   1 0.300      2.000 4.511143e-01  15  10   5 
1   2   1 0.300      2.000 5.640936e-01  20  10   5 
1   2   1 0.300      2.000 6.597366e-01  25  10   5 
1   2   1 0.300      2.000 8.276127e-01  25  15   5 
1   2   1 0.300      2.000 7.382997e-01  20  15  10 
2   2   1 0.300      2.000 3.227710e-01  10   5   3 
2   2   1 0.300      2.000 4.511143e-01  15   5   3 
2   2   1 0.300      2.000 5.640936e-01  20   5   3 
2   2   1 0.300      2.000 7.382997e-01  15  10   5 
2   2   1 0.300      2.000 8.508384e-01  20  10   5 
2   2   1 0.300      2.000 9.183620e-01  25  10   5 
2   2   1 0.300      2.000 9.841413e-01  25  15   5 
2   2   1 0.300      2.000 9.567605e-01  20  15  10 
3   2   1 0.300      2.000 3.227710e-01  10   5   3 
3   2   1 0.300      2.000 4.511143e-01  15   5   3 
3   2   1 0.300      2.000 5.640936e-01  20   5   3 
3   2   1 0.300      2.000 7.382997e-01  15  10   5 
3   2   1 0.300      2.000 8.508384e-01  20  10   5 
3   2   1 0.300      2.000 9.183620e-01  25  10   5 
3   2   1 0.300      2.000 9.841413e-01  25  15   5 
3   2   1 0.300      2.000 9.567605e-01  20  15  10 
4   2   1 0.300      2.000 1.842454e-01  10   5   3 
4   2   1 0.300      2.000 2.543299e-01  15   5   3 
4   2   1 0.300      2.000 3.227710e-01  20   5   3 
4   2   1 0.300      2.000 4.511143e-01  15  10   5 
4   2   1 0.300      2.000 5.640936e-01  20  10   5 
4   2   1 0.300      2.000 6.597366e-01  25  10   5 
4   2   1 0.300      2.000 8.276127e-01  25  15   5 
4   2   1 0.300      2.000 7.382997e-01  20  15  10 
5   2   1 0.300      2.000 1.842454e-01  10   5   3 
5   2   1 0.300      2.000 2.543299e-01  15   5   3 
5   2   1 0.300      2.000 3.227710e-01  20   5   3 
5   2   1 0.300      2.000 4.511143e-01  15  10   5 
5   2   1 0.300      2.000 5.640936e-01  20  10   5 
5   2   1 0.300      2.000 6.597366e-01  25  10   5 
5   2   1 0.300      2.000 8.276127e-01  25  15   5 
5   2   1 0.300      2.000 7.382997e-01  20  15  10 
6   2   1 0.300      2.000 3.227710e-01  10   5   3 
6   2   1 0.300      2.000 4.511143e-01  15   5   3 
6   2   1 0.300      2.000 5.640936e-01  20   5   3 
6   2   1 0.300      2.000 7.382997e-01  15  10   5 
6   2   1 0.300      2.000 8.508384e-01  20  10   5 
6   2   1 0.300      2.000 9.183620e-01  25  10   5 
6   2   1 0.300      2.000 9.841413e-01  25  15   5 
6   2   1 0.300      2.000 9.567605e-01  20  15  10 
7   2   1 0.300      2.000 1.842454e-01  10   5   3 
7   2   1 0.300      2.000 2.543299e-01  15   5   3 
7   2   1 0.300      2.000 3.227710e-01  20   5   3 
7   2   1 0.300      2.000 4.511143e-01  15  10   5 
7   2   1 0.300      2.000 5.640936e-01  20  10   5 
7   2   1 0.300      2.000 6.597366e-01  25  10   5 
7   2   1 0.300      2.000 8.276127e-01  25  15   5 
7   2   1 0.300      2.000 7.382997e-01  20  15  10 
1   2   1 0.700      2.000 6.966920e-01  10   5   3 
1   2   1 0.700      2.000 8.579434e-01  15   5   3 
1   2   1 0.700      2.000 9.382242e-01  20   5   3 
1   2   1 0.700      2.000 9.900079e-01  15  10   5 
1   2   1 0.700      2.000 9.986041e-01  20  10   5 
1   2   1 0.700      2.000 9.998242e-01  25  10   5 
1   2   1 0.700      2.000 9.999993e-01  25  15   5 
1   2   1 0.700      2.000 9.999795e-01  20  15  10 
2   2   1 0.700      2.000 9.382242e-01  10   5   3 
2   2   1 0.700      2.000 9.900079e-01  15   5   3 
2   2   1 0.700      2.000 9.986041e-01  20   5   3 
2   2   1 0.700      2.000 9.999795e-01  15  10   5 
2   2   1 0.700      2.000 9.999998e-01  20  10   5 
2   2   1 0.700      2.000 1.000000e+00  25  10   5 
2   2   1 0.700      2.000 1.000000e+00  25  15   5 
2   2   1 0.700      2.000 1.000000e+00  20  15  10 
3   2   1 0.700      2.000 9.382242e-01  10   5   3 
3   2   1 0.700      2.000 9.900079e-01  15   5   3 
3   2   1 0.700      2.000 9.986041e-01  20   5   3 
3   2   1 0.700      2.000 9.999795e-01  15  10   5 
3   2   1 0.700      2.000 9.999998e-01  20  10   5 
3   2   1 0.700      2.000 1.000000e+00  25  10   5 
3   2   1 0.700      2.000 1.000000e+00  25  15   5 
3   2   1 0.700      2.000 1.000000e+00  20  15  10 
4   2   1 0.700      2.000 6.966920e-01  10   5   3 
4   2   1 0.700      2.000 8.579434e-01  15   5   3 
4   2   1 0.700      2.000 9.382242e-01  20   5   3 
4   2   1 0.700      2.000 9.900079e-01  15  10   5 
4   2   1 0.700      2.000 9.986041e-01  20  10   5 
4   2   1 0.700      2.000 9.998242e-01  25  10   5 
4   2   1 0.700      2.000 9.999993e-01  25  15   5 
4   2   1 0.700      2.000 9.999795e-01  20  15  10 
5   2   1 0.700      2.000 6.966920e-01  10   5   3 
5   2   1 0.700      2.000 8.579434e-01  15   5   3 
5   2   1 0.700      2.000 9.382242e-01  20   5   3 
5   2   1 0.700      2.000 9.900079e-01  15  10   5 
5   2   1 0.700      2.000 9.986041e-01  20  10   5 
5   2   1 0.700      2.000 9.998242e-01  25  10   5 
5   2   1 0.700      2.000 9.999993e-01  25  15   5 
5   2   1 0.700      2.000 9.999795e-01  20  15  10 
6   2   1 0.700      2.000 9.382242e-01  10   5   3 
6   2   1 0.700      2.000 9.900079e-01  15   5   3 
6   2   1 0.700      2.000 9.986041e-01  20   5   3 
6   2   1 0.700      2.000 9.999795e-01  15  10   5 
6   2   1 0.700      2.000 9.999998e-01  20  10   5 
6   2   1 0.700      2.000 1.000000e+00  25  10   5 
6   2   1 0.700      2.000 1.000000e+00  25  15   5 
6   2   1 0.700      2.000 1.000000e+00  20  15  10 
7   2   1 0.700      2.000 6.966920e-01  10   5   3 
7   2   1 0.700      2.000 8.579434e-01  15   5   3 
7   2   1 0.700      2.000 9.382242e-01  20   5   3 
7   2   1 0.700      2.000 9.900079e-01  15  10   5 
7   2   1 0.700      2.000 9.986041e-01  20  10   5 
7   2   1 0.700      2.000 9.998242e-01  25  10   5 
7   2   1 0.700      2.000 9.999993e-01  25  15   5 
7   2   1 0.700      2.000 9.999795e-01  20  15  10 
1   2   2 0.300      1.000 5.249717e-01  10   5   3 
1   2   2 0.300      1.000 6.974933e-01  15   5   3 
1   2   2 0.300      1.000 8.160526e-01  20   5   3 
1   2   2 0.300      1.000 9.386187e-01  15  10   5 
1   2   2 0.300      1.000 9.814760e-01  20  10   5 
1   2   2 0.300      1.000 9.948070e-01  25  10   5 
1   2   2 0.300      1.000 9.998276e-01  25  15   5 
1   2   2 0.300      1.000 9.986250e-01  20  15  10 
2   2   2 0.300      1.000 8.160526e-01  10   5   3 
2   2   2 0.300      1.000 9.386187e-01  15   5   3 
2   2   2 0.300      1.000 9.814760e-01  20   5   3 
2   2   2 0.300      1.000 9.986250e-01  15  10   5 
2   2   2 0.300      1.000 9.999153e-01  20  10   5 
2   2   2 0.300      1.000 9.999954e-01  25  10   5 
2   2   2 0.300      1.000 1.000000e+00  25  15   5 
2   2   2 0.300      1.000 9.999998e-01  20  15  10 
3   2   2 0.300      1.000 8.160526e-01  10   5   3 
3   2   2 0.300      1.000 9.386187e-01  15   5   3 
3   2   2 0.300      1.000 9.814760e-01  20   5   3 
3   2   2 0.300      1.000 9.986250e-01  15  10   5 
3   2   2 0.300      1.000 9.999153e-01  20  10   5 
3   2   2 0.300      1.000 9.999954e-01  25  10   5 
3   2   2 0.300      1.000 1.000000e+00  25  15   5 
3   2   2 0.300      1.000 9.999998e-01  20  15  10 
4   2   2 0.300      1.000 5.249717e-01  10   5   3 
4   2   2 0.300      1.000 6.974933e-01  15   5   3 
4   2   2 0.300      1.000 8.160526e-01  20   5   3 
4   2   2 0.300      1.000 9.386187e-01  15  10   5 
4   2   2 0.300      1.000 9.814760e-01  20  10   5 
4   2   2 0.300      1.000 9.948070e-01  25  10   5 
4   2   2 0.300      1.000 9.998276e-01  25  15   5 
4   2   2 0.300      1.000 9.986250e-01  20  15  10 
5   2   2 0.300      1.000 5.249717e-01  10   5   3 
5   2   2 0.300      1.000 6.974933e-01  15   5   3 
5   2   2 0.300      1.000 8.160526e-01  20   5   3 
5   2   2 0.300      1.000 9.386187e-01  15  10   5 
5   2   2 0.300      1.000 9.814760e-01  20  10   5 
5   2   2 0.300      1.000 9.948070e-01  25  10   5 
5   2   2 0.300      1.000 9.998276e-01  25  15   5 
5   2   2 0.300      1.000 9.986250e-01  20  15  10 
6   2   2 0.300      1.000 8.160526e-01  10   5   3 
6   2   2 0.300      1.000 9.386187e-01  15   5   3 
6   2   2 0.300      1.000 9.814760e-01  20   5   3 
6   2   2 0.300      1.000 9.986250e-01  15  10   5 
6   2   2 0.300      1.000 9.999153e-01  20  10   5 
6   2   2 0.300      1.000 9.999954e-01  25  10   5 
6   2   2 0.300      1.000 1.000000e+00  25  15   5 
6   2   2 0.300      1.000 9.999998e-01  20  15  10 
7   2   2 0.300      1.000 5.249717e-01  10   5   3 
7   2   2 0.300      1.000 6.974933e-01  15   5   3 
7   2   2 0.300      1.000 8.160526e-01  20   5   3 
7   2   2 0.300      1.000 9.386187e-01  15  10   5 
7   2   2 0.300      1.000 9.814760e-01  20  10   5 
7   2   2 0.300      1.000 9.948070e-01  25  10   5 
7   2   2 0.300      1.000 9.998276e-01  25  15   5 
7   2   2 0.300      1.000 9.986250e-01  20  15  10 
1   2   2 0.700      1.000 9.971049e-01  10   5   3 
1   2   2 0.700      1.000 9.999333e-01  15   5   3 
1   2   2 0.700      1.000 9.999988e-01  20   5   3 
1   2   2 0.700      1.000 1.000000e+00  15  10   5 
1   2   2 0.700      1.000 1.000000e+00  20  10   5 
1   2   2 0.700      1.000   1  25  10   5 
1   2   2 0.700      1.000   1  25  15   5 
1   2   2 0.700      1.000   1  20  15  10 
2   2   2 0.700      1.000 9.999988e-01  10   5   3 
2   2   2 0.700      1.000 1.000000e+00  15   5   3 
2   2   2 0.700      1.000 1.000000e+00  20   5   3 
2   2   2 0.700      1.000   1  15  10   5 
2   2   2 0.700      1.000   1  20  10   5 
2   2   2 0.700      1.000   1  25  10   5 
2   2   2 0.700      1.000   1  25  15   5 
2   2   2 0.700      1.000   1  20  15  10 
3   2   2 0.700      1.000 9.999988e-01  10   5   3 
3   2   2 0.700      1.000 1.000000e+00  15   5   3 
3   2   2 0.700      1.000 1.000000e+00  20   5   3 
3   2   2 0.700      1.000   1  15  10   5 
3   2   2 0.700      1.000   1  20  10   5 
3   2   2 0.700      1.000   1  25  10   5 
3   2   2 0.700      1.000   1  25  15   5 
3   2   2 0.700      1.000   1  20  15  10 
4   2   2 0.700      1.000 9.971049e-01  10   5   3 
4   2   2 0.700      1.000 9.999333e-01  15   5   3 
4   2   2 0.700      1.000 9.999988e-01  20   5   3 
4   2   2 0.700      1.000 1.000000e+00  15  10   5 
4   2   2 0.700      1.000 1.000000e+00  20  10   5 
4   2   2 0.700      1.000   1  25  10   5 
