gamma Case Scenario ES e_var Power n g h 
1   1   1 0.300      2.000 2.773749e-01  10   5   3 
1   1   1 0.300      2.000 3.886218e-01  15   5   3 
1   1   1 0.300      2.000 4.906368e-01  20   5   3 
1   1   1 0.300      2.000 6.597366e-01  15  10   5 
1   1   1 0.300      2.000 7.819067e-01  20  10   5 
1   1   1 0.300      2.000 8.647470e-01  25  10   5 
1   1   1 0.300      2.000 9.632759e-01  25  15   5 
1   1   1 0.300      2.000 9.183620e-01  20  15  10 
2   1   1 0.300      2.000 2.773749e-01  10   5   3 
2   1   1 0.300      2.000 3.886218e-01  15   5   3 
2   1   1 0.300      2.000 4.906368e-01  20   5   3 
2   1   1 0.300      2.000 6.597366e-01  15  10   5 
2   1   1 0.300      2.000 7.819067e-01  20  10   5 
2   1   1 0.300      2.000 8.647470e-01  25  10   5 
2   1   1 0.300      2.000 9.632759e-01  25  15   5 
2   1   1 0.300      2.000 9.183620e-01  20  15  10 
3   1   1 0.300      2.000 2.773749e-01  10   5   3 
3   1   1 0.300      2.000 3.886218e-01  15   5   3 
3   1   1 0.300      2.000 4.906368e-01  20   5   3 
3   1   1 0.300      2.000 6.597366e-01  15  10   5 
3   1   1 0.300      2.000 7.819067e-01  20  10   5 
3   1   1 0.300      2.000 8.647470e-01  25  10   5 
3   1   1 0.300      2.000 9.632759e-01  25  15   5 
3   1   1 0.300      2.000 9.183620e-01  20  15  10 
4   1   1 0.300      2.000 2.773749e-01  10   5   3 
4   1   1 0.300      2.000 3.886218e-01  15   5   3 
4   1   1 0.300      2.000 4.906368e-01  20   5   3 
4   1   1 0.300      2.000 6.597366e-01  15  10   5 
4   1   1 0.300      2.000 7.819067e-01  20  10   5 
4   1   1 0.300      2.000 8.647470e-01  25  10   5 
4   1   1 0.300      2.000 9.632759e-01  25  15   5 
4   1   1 0.300      2.000 9.183620e-01  20  15  10 
5   1   1 0.300      2.000 2.773749e-01  10   5   3 
5   1   1 0.300      2.000 3.886218e-01  15   5   3 
5   1   1 0.300      2.000 4.906368e-01  20   5   3 
5   1   1 0.300      2.000 6.597366e-01  15  10   5 
5   1   1 0.300      2.000 7.819067e-01  20  10   5 
5   1   1 0.300      2.000 8.647470e-01  25  10   5 
5   1   1 0.300      2.000 9.632759e-01  25  15   5 
5   1   1 0.300      2.000 9.183620e-01  20  15  10 
6   1   1 0.300      2.000 2.773749e-01  10   5   3 
6   1   1 0.300      2.000 3.886218e-01  15   5   3 
6   1   1 0.300      2.000 4.906368e-01  20   5   3 
6   1   1 0.300      2.000 6.597366e-01  15  10   5 
6   1   1 0.300      2.000 7.819067e-01  20  10   5 
6   1   1 0.300      2.000 8.647470e-01  25  10   5 
6   1   1 0.300      2.000 9.632759e-01  25  15   5 
6   1   1 0.300      2.000 9.183620e-01  20  15  10 
7   1   1 0.300      2.000 2.773749e-01  10   5   3 
7   1   1 0.300      2.000 3.886218e-01  15   5   3 
7   1   1 0.300      2.000 4.906368e-01  20   5   3 
7   1   1 0.300      2.000 6.597366e-01  15  10   5 
7   1   1 0.300      2.000 7.819067e-01  20  10   5 
7   1   1 0.300      2.000 8.647470e-01  25  10   5 
7   1   1 0.300      2.000 9.632759e-01  25  15   5 
7   1   1 0.300      2.000 9.183620e-01  20  15  10 
1   1   1 0.700      2.000 8.916004e-01  10   5   3 
1   1   1 0.700      2.000 9.745994e-01  15   5   3 
1   1   1 0.700      2.000 9.947440e-01  20   5   3 
1   1   1 0.700      2.000 9.998242e-01  15  10   5 
1   1   1 0.700      2.000 9.999953e-01  20  10   5 
1   1   1 0.700      2.000 9.999999e-01  25  10   5 
1   1   1 0.700      2.000 1.000000e+00  25  15   5 
1   1   1 0.700      2.000 1.000000e+00  20  15  10 
2   1   1 0.700      2.000 8.916004e-01  10   5   3 
2   1   1 0.700      2.000 9.745994e-01  15   5   3 
2   1   1 0.700      2.000 9.947440e-01  20   5   3 
2   1   1 0.700      2.000 9.998242e-01  15  10   5 
2   1   1 0.700      2.000 9.999953e-01  20  10   5 
2   1   1 0.700      2.000 9.999999e-01  25  10   5 
2   1   1 0.700      2.000 1.000000e+00  25  15   5 
2   1   1 0.700      2.000 1.000000e+00  20  15  10 
3   1   1 0.700      2.000 8.916004e-01  10   5   3 
3   1   1 0.700      2.000 9.745994e-01  15   5   3 
3   1   1 0.700      2.000 9.947440e-01  20   5   3 
3   1   1 0.700      2.000 9.998242e-01  15  10   5 
3   1   1 0.700      2.000 9.999953e-01  20  10   5 
3   1   1 0.700      2.000 9.999999e-01  25  10   5 
